Name,League,OverAll,Index
FC Barcelona,LaLiga Santander,86,1
Real Madrid,LaLiga Santander,86,2
Juventus,Serie A TIM,85,3
Paris Saint-Germain,Ligue 1 Conforama,85,4
Manchester City,Premier League,85,5
Liverpool,Premier League,85,6
FC Bayern München,Bundesliga,84,7
Atlético Madrid,LaLiga Santander,83,8
Tottenham Hotspur,Premier League,82,9
Napoli,Serie A TIM,82,10
Borussia Dortmund,Bundesliga,82,11
Inter,Serie A TIM,82,12
Manchester United,Premier League,81,13
Lazio,Serie A TIM,81,14
Valencia CF,LaLiga Santander,81,15
Chelsea,Premier League,81,16
Arsenal,Premier League,80,17
RB Leipzig,Bundesliga,80,18
Real Betis,LaLiga Santander,80,19
Bayer 04 Leverkusen,Bundesliga,80,20
Sevilla FC,LaLiga Santander,80,21
Ajax,Eredivisie,80,22
Milan,Serie A TIM,79,23
Roma,Serie A TIM,79,24
Atalanta,Serie A TIM,79,25
Real Sociedad,LaLiga Santander,79,26
Leicester City,Premier League,79,27
Villarreal CF,LaLiga Santander,79,28
Athletic Club,LaLiga Santander,79,29
Olympique Lyonnais,Ligue 1 Conforama,79,30
SL Benfica,Liga NOS,79,31
Borussia Mönchengladbach,Bundesliga,79,32
FC Porto,Liga NOS,79,33
West Ham United,Premier League,78,34
Everton,Premier League,78,35
Olympique de Marseille,Ligue 1 Conforama,78,36
AS Monaco Football Club SA,Ligue 1 Conforama,78,37
Getafe CF,LaLiga Santander,78,38
Wolverhampton Wanderers,Premier League,78,39
RC Celta,LaLiga Santander,77,40
Galatasaray SK,Süper Lig,77,41
TSG 1899 Hoffenheim,Bundesliga,77,42
Torino,Serie A TIM,77,43
River Plate,SAF,77,44
RCD Espanyol,LaLiga Santander,77,45
SD Eibar,LaLiga Santander,77,46
Eintracht Frankfurt,Bundesliga,77,47
VfL Wolfsburg,Bundesliga,77,48
Levante UD,LaLiga Santander,77,49
LOSC Lille,Ligue 1 Conforama,77,50
Watford,Premier League,77,51
FC Schalke 04,Bundesliga,77,52
SV Werder Bremen,Bundesliga,77,53
Newcastle United,Premier League,77,54
Crystal Palace,Premier League,77,55
AFC Bournemouth,Premier League,76,56
Racing Club,SAF,76,57
Beşiktaş JK,Süper Lig,76,58
Flamengo,Libertadores,76,59
Cagliari,Serie A TIM,76,60
SC Braga,Liga NOS,76,61
Burnley,Premier League,76,62
Hertha BSC,Bundesliga,76,63
Aston Villa,Premier League,76,64
Stade Rennais FC,Ligue 1 Conforama,76,65
Southampton,Premier League,76,66
R. Valladolid CF,LaLiga Santander,76,67
D. Alavés,LaLiga Santander,76,68
Fiorentina,Serie A TIM,76,69
Boca Juniors,SAF,76,70
Brighton & Hove Albion,Premier League,76,71
Sporting CP,Liga NOS,76,72
Club Brugge KV,Pro League,76,73
Lokomotiv Moscow,Rest of World,76,74
AS Saint-Étienne,Ligue 1 Conforama,76,75
Palmeiras,Libertadores,75,76
Shakhtar Donetsk,Rest of World,75,77
FC Augsburg,Bundesliga,75,78
Montpellier Hérault SC,Ligue 1 Conforama,75,79
Olympiacos CFP,Rest of World,75,80
Tigres U.A.N.L.,LIGA BBVA MX,75,81
Fenerbahçe SK,Süper Lig,75,82
Granada CF,LaLiga Santander,75,83
1. FC Köln,Bundesliga,75,84
Medipol Başakşehir FK,Süper Lig,75,85
PSV,Eredivisie,75,86
FC Girondins de Bordeaux,Ligue 1 Conforama,75,87
CD Leganés,LaLiga Santander,75,88
São Paulo,Libertadores,75,89
Udinese,Serie A TIM,75,90
Genoa,Serie A TIM,75,91
1. FSV Mainz 05,Bundesliga,75,92
OGC Nice,Ligue 1 Conforama,75,93
Sheffield United,Premier League,75,94
Grêmio,Liga do Brasil,75,95
Sampdoria,Serie A TIM,74,96
Sassuolo,Serie A TIM,74,97
Al Hilal,MBS Pro League,74,98
Atlético Mineiro,Liga do Brasil,74,99
Monterrey,LIGA BBVA MX,74,100
CA Osasuna,LaLiga Santander,74,101
KAA Gent,Pro League,74,102
Sport-Club Freiburg,Bundesliga,74,103
Feyenoord,Eredivisie,74,104
RC Strasbourg Alsace,Ligue 1 Conforama,74,105
Parma,Serie A TIM,74,106
Norwich City,Premier League,74,107
FC Nantes,Ligue 1 Conforama,74,108
Bologna,Serie A TIM,74,109
Angers SCO,Ligue 1 Conforama,74,110
Hellas Verona,Serie A TIM,74,111
Dynamo Kyiv,Rest of World,74,112
Celtic,Scottish Prem,74,113
PFC CSKA Moscow,Rest of World,74,114
Spartak Moscow,Rest of World,74,115
AZ,Eredivisie,74,116
Independiente,SAF,74,117
Internacional,Liga do Brasil,74,118
PAOK,Rest of World,74,119
Vitória Guimarães,Liga NOS,74,120
